Date,High,Low,Open,Close,Volume,Adj Close
2015-01-02,189.72000122070312,187.25999450683594,189.2899932861328,188.39999389648438,1865000.0,168.69346618652344
2015-01-05,187.41000366210938,184.66000366210938,187.25999450683594,185.08999633789062,2734700.0,165.7296905517578
2015-01-06,185.8800048828125,182.36000061035156,185.3699951171875,183.27000427246094,2245300.0,164.1000518798828
2015-01-07,185.91000366210938,184.22999572753906,184.72999572753906,185.55999755859375,2305600.0,166.1505126953125
2015-01-08,189.0500030517578,187.07000732421875,187.1300048828125,188.82000732421875,1740600.0,169.0695343017578
2015-01-09,189.33999633789062,186.64999389648438,189.3000030517578,187.22999572753906,2525200.0,167.64585876464844
2015-01-12,187.60000610351562,185.19000244140625,187.4600067138672,185.83999633789062,1847500.0,166.40118408203125
2015-01-13,188.41000366210938,183.89999389648438,187.22000122070312,185.35000610351562,2158500.0,165.96246337890625
2015-01-14,184.39999389648438,182.11000061035156,183.10000610351562,184.25999450683594,5216300.0,164.98646545410156
2015-01-15,185.25,182.39999389648438,184.8800048828125,182.5399932861328,1940700.0,163.44638061523438
2015-01-16,185.0800018310547,182.08999633789062,182.30999755859375,184.8000030517578,1472800.0,165.47003173828125
2015-01-20,185.89999389648438,183.5800018310547,185.6199951171875,185.25999450683594,1637600.0,165.88189697265625
2015-01-21,186.74000549316406,184.3000030517578,184.77000427246094,186.22999572753906,1586500.0,166.7504425048828
2015-01-22,189.14999389648438,185.60000610351562,187.08999633789062,189.0800018310547,6074900.0,169.3023223876953
2015-01-23,189.02000427246094,187.7899932861328,188.72000122070312,188.0399932861328,3109800.0,168.37110900878906
2015-01-26,188.50999450683594,186.92999267578125,187.7899932861328,188.41000366210938,2018000.0,168.702392578125
2015-01-27,187.17999267578125,185.02000427246094,186.13999938964844,185.94000244140625,1979100.0,166.4907989501953
2015-01-28,187.32000732421875,183.35000610351562,187.27000427246094,183.49000549316406,2530800.0,164.2970733642578
2015-01-29,185.52999877929688,182.2100067138672,183.74000549316406,185.27000427246094,4338200.0,165.890869140625
2015-01-30,185.3800048828125,182.6300048828125,183.9600067138672,182.99000549316406,2302500.0,163.849365234375
2015-02-02,185.25999450683594,181.47000122070312,183.5,185.08999633789062,3397800.0,165.7296905517578
2015-02-03,187.86000061035156,185.7899932861328,186.1300048828125,187.7899932861328,1435000.0,168.1472625732422
2015-02-04,188.35000610351562,186.64999389648438,187.02999877929688,187.14999389648438,1861200.0,167.57423400878906
2015-02-05,189.19000244140625,187.85000610351562,187.88999938964844,189.0500030517578,1033800.0,169.27545166015625
2015-02-06,190.0500030517578,187.94000244140625,189.49000549316406,188.52000427246094,1454700.0,168.80091857910156
2015-02-09,188.58999633789062,187.22000122070312,187.80999755859375,187.66000366210938,2289300.0,168.03086853027344
2015-02-10,189.92999267578125,187.85000610351562,188.82000732421875,189.66000366210938,1798000.0,169.82167053222656
2015-02-11,190.22999572753906,188.77999877929688,189.50999450683594,189.7899932861328,1744400.0,169.9380645751953
