Date,AAPL,GE,GOOG,IBM,MSFT
2015-01-02,99.94588470458984,20.67449951171875,523.3731079101562,127.53113555908203,41.748565673828125
2015-01-05,97.13024139404297,20.295000076293945,512.4630126953125,125.52449035644531,41.36465835571289
2015-01-06,97.13941955566406,19.857749938964844,500.58563232421875,122.81742858886719,40.757530212402344
2015-01-07,98.50151824951172,19.86600112915039,499.7279968261719,122.0147476196289,41.27536392211914
2015-01-08,102.28618621826172,20.105247497558594,501.3036804199219,124.6667251586914,42.48960876464844
2015-01-09,102.39584350585938,19.82475471496582,494.8114929199219,125.2096939086914,42.132476806640625
2015-01-12,99.87275695800781,19.78350067138672,491.201416015625,123.1086196899414,41.605709075927734
2015-01-13,100.75951385498047,19.68450164794922,494.82147216796875,123.39973449707031,41.39142990112305
2015-01-14,100.37557220458984,19.618497848510742,499.4986267089844,122.60494995117188,41.0343017578125
2015-01-15,97.65131378173828,19.453495025634766,500.4161071777344,121.63701629638672,40.60575485229492
2015-01-16,96.89256286621094,19.46175193786621,506.6888732910156,123.65940856933594,41.2843017578125
2015-01-20,99.38829040527344,19.676252365112305,505.5121154785156,123.50989532470703,41.418216705322266
2015-01-21,100.14701080322266,19.832998275756836,516.6216430664062,119.68539428710938,40.99858474731445
2015-01-22,102.75240325927734,20.031002044677734,532.9268188476562,122.28229522705078,42.07891082763672
2015-01-23,103.28260803222656,20.196001052856445,538.4716186523438,122.6600112915039,42.12355041503906
2015-01-26,103.3923110961914,20.286752700805664,533.74462890625,123.04562377929688,41.971763610839844
2015-01-27,99.77220916748047,20.113496780395508,517.2100219726562,120.92876434326172,38.087982177734375
2015-01-28,105.41262817382812,19.66800308227539,508.6036376953125,119.2604751586914,36.7755241394043
2015-01-29,108.6944808959961,19.86600112915039,509.2618103027344,122.35313415527344,37.50764083862305
2015-01-30,107.10383605957031,19.709251403808594,533.0565185546875,120.64546203613281,36.0701904296875
2015-02-02,108.44766235351562,19.97325325012207,527.0330200195312,121.70784759521484,36.85588073730469
2015-02-03,108.46593475341797,20.18775177001953,527.7909545898438,124.70603942871094,37.1415901184082
2015-02-04,109.29783630371094,19.9320011138916,521.3286743164062,123.51776885986328,37.355857849121094
2015-02-05,110.07794189453125,20.212501525878906,526.135498046875,124.26539611816406,37.900489807128906
2015-02-06,109.1509780883789,20.229000091552734,529.546142578125,124.19404602050781,37.864768981933594
2015-02-09,109.87602233886719,20.3280029296875,526.3848266601562,123.42535400390625,37.82012939453125
2015-02-10,111.98690032958984,20.394004821777344,535.4698486328125,125.65218353271484,38.0344123840332
2015-02-11,114.61176300048828,20.43524742126465,534.5025024414062,125.36688232421875,37.83798599243164
2015-02-12,116.06184387207031,20.534250259399414,541.4434814453125,125.62045288085938,38.471893310546875
2015-02-13,116.630859375,20.748748779296875,547.5068359375,127.11031341552734,39.168296813964844
2015-02-17,117.3191909790039,20.7652530670166,541.3536987304688,127.55406951904297,39.186279296875
2015-02-18,118.13603210449219,20.83125114440918,538.2222900390625,128.52880859375,39.14133071899414
2015-02-19,117.88821411132812,20.830583572387695,541.3836059570312,129.8759765625,39.114341735839844
2015-02-20,118.85188293457031,20.99716567993164,537.474365234375,129.68576049804688,39.43805694580078
2015-02-23,122.06407928466797,20.963848114013672,530.45361328125,129.09938049316406,39.69881820678711
2015-02-24,121.30231475830078,21.14708137512207,534.6221923828125,130.62091064453125,39.644866943359375
2015-02-25,118.20025634765625,21.580184936523438,542.3809204101562,129.02011108398438,39.55493927001953
2015-02-26,119.69622802734375,21.563528060913086,553.9591064453125,127.48275756835938,39.617889404296875
2015-02-27,117.89739990234375,21.646818161010742,556.87109375,128.3306884765625,39.42906188964844
2015-03-02,118.47557830810547,21.746761322021484,569.7756958007812,127.1736831665039,39.45603942871094
2015-03-03,118.72338104248047,21.538537979125977,572.0693969726562,127.60953521728516,38.91651916503906
2015-03-04,117.9708023071289,21.371963500976562,571.8001098632812,126.33372497558594,38.71870040893555
2015-03-05,116.01594543457031,21.505224227905273,573.7547607421875,127.72838592529297,38.76366424560547
2015-03-06,116.1903305053711,21.17207145690918,566.1306762695312,125.6046371459961,38.08928298950195
2015-03-09,116.68592071533203,21.35530662536621,567.29248046875,127.40353393554688,38.52988052368164
2015-03-10,114.27217102050781,20.963848114013672,553.4904174804688,125.057861328125,37.79254913330078
2015-03-11,112.1888427734375,20.98050308227539,549.6708984375,124.25745391845703,37.74759292602539
2015-03-12,114.21710968017578,21.155412673950195,553.989013671875,125.19255065917969,36.88438034057617
2015-03-13,113.42781829833984,20.855575561523438,545.8214721679688,122.26048278808594,37.20808792114258
2015-03-16,114.6760025024414,21.197059631347656,552.9917602539062,124.47935485839844,37.36993408203125
2015-03-17,116.5941390991211,21.08045196533203,549.331787109375,124.3842544555664,37.495826721191406
2015-03-18,117.90654754638672,21.35530662536621,557.9680786132812,126.64276885986328,38.21516418457031
2015-03-19,117.01634216308594,21.097110748291016,556.4622192382812,126.64276885986328,38.026344299316406
2015-03-20,115.54790496826172,21.155412673950195,558.8257446289062,129.07559204101562,38.556861877441406
2015-03-23,116.75016784667969,21.213714599609375,557.2799682617188,130.46240234375,38.538875579833984
2015-03-24,116.27291107177734,21.047134399414062,568.6288452148438,129.17066955566406,38.57483673095703
2015-03-25,113.23509979248047,20.74729347229004,557.2550659179688,126.15935516357422,37.2800178527832
2015-03-26,114.02436828613281,20.655675888061523,553.6499633789062,127.2608413696289,37.05521774291992
2015-03-27,113.11578369140625,20.70565414428711,546.8386840820312,127.11031341552734,36.83942413330078
